name,grade_scale,price_jpy,price_php,price_sgd,price_usd,price_myr,price_thb,price_idr,stock,release_date,cancellation_deadline,sku,image_url,image_urls,affiliate_url,scraped_at,notes
Mobile Suit Z Gundam: Waverider Patch,Unknown,"¥3,495",1318.52,28.15,22.01,87.06,717.87,377460.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR31153-3,https://www.hlj.com/productimages/csp/cspr31153-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr31153-3_0.jpg'],https://www.hlj.com/mobile-suit-z-gundam-waverider-patch-cspr31153-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:48+08:00,
Mobile Suit Gundam: Char's Counterattack: New Gundam Beyond T-shirt: Navy - XL,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR12600,https://www.hlj.com/productimages/csp/cspr12600_0.jpg,['https://www.hlj.com/productimages/csp/cspr12600_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-counterattack-new-gundam-beyond-t-shirt-navy-xl-cspr12600?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:55+08:00,
Mobile Suit Gundam: Char's Counterattack: Nu (New) Gundam T-Shirt / White-L,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR32174-2,https://www.hlj.com/productimages/csp/cspr32174-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr32174-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-counterattack-nu-new-gundam-t-shirt-white-l-cspr32174-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:02+08:00,
"Mobile Suit Gundam 00: I Want To Hug You, Gundam! T-Shirt / Black-M",Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR05923-2,https://www.hlj.com/productimages/csp/cspr05923-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr05923-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-00-i-want-to-hug-you-gundam-t-shirt-black-m-cspr05923-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:09+08:00,
"Mobile Suit Gundam 00: I Want To Hug You, Gundam! T-Shirt / Black-L",Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR05924-2,https://www.hlj.com/productimages/csp/cspr05924-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr05924-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-00-i-want-to-hug-you-gundam-t-shirt-black-l-cspr05924-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:15+08:00,
Mobile Suit Gundam: Char's Counterattack: Nu (New) Gundam T-Shirt / White-XL,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR32175-3,https://www.hlj.com/productimages/csp/cspr32175-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr32175-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-counterattack-nu-new-gundam-t-shirt-white-xl-cspr32175-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:21+08:00,
Mobile Suit Gundam: Iron-Blooded Orphans: Gundam Barbatos T-Shirt / Black-Xl,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR65986-2,https://www.hlj.com/productimages/csp/cspr65986-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr65986-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-iron-blooded-orphans-gundam-barbatos-t-shirt-black-xl-cspr65986-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:28+08:00,
Mobile Suit Gundam: Char's Counterattack: New Gundam Beyond T-shirt: Navy - M,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR12598,https://www.hlj.com/productimages/csp/cspr12598_0.jpg,['https://www.hlj.com/productimages/csp/cspr12598_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-counterattack-new-gundam-beyond-t-shirt-navy-m-cspr12598?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:34+08:00,
Mobile Suit Gundam: Zeon Stencil Mark Patch,Unknown,"¥1,747",659.26,14.07,11.0,43.52,358.83,188676.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR06375-3,https://www.hlj.com/productimages/csp/cspr06375-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr06375-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeon-stencil-mark-patch-cspr06375-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:43+08:00,
Mobile Suit Gundam: Mobile Assault Force Patch,Unknown,"¥1,498",565.08,12.07,9.43,37.32,307.69,161784.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR28779-2,https://www.hlj.com/productimages/csp/cspr28779-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr28779-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-mobile-assault-force-patch-cspr28779-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:01:49+08:00,
